node,destination,Lat1,Long1,Lat2,Long2,value
10,21,38.3225,38.2948,38.3513,38.3146,3.63837636229553
10,22,38.3225,38.2948,38.3522,38.3167,3.815085380524405
10,23,38.3225,38.2948,38.3525,38.3160,3.8140271962980883
11,0,38.3243,38.2939,38.2972,38.2961,3.019494053052363
11,1,38.3243,38.2939,38.2986,38.2970,2.8704847468414756
11,2,38.3243,38.2939,38.3009,38.2971,2.6169009324380017
11,3,38.3243,38.2939,38.3031,38.2959,2.3637850189285077
11,4,38.3243,38.2939,38.3048,38.2944,2.1687428322192863
11,5,38.3243,38.2939,38.3087,38.2939,1.734643251642977
11,6,38.3243,38.2939,38.3141,38.2953,1.1407470383438085
11,7,38.3243,38.2939,38.3095,38.2940,1.6457103123769226
11,8,38.3243,38.2939,38.3180,38.2957,0.7179127436169171
11,9,38.3243,38.2939,38.3175,38.3101,1.6028176869911537
11,10,38.3243,38.2939,38.3225,38.2948,0.21499896036555965
11,11,38.3243,38.2939,38.3243,38.2939,0.0
11,12,38.3243,38.2939,38.3290,38.2945,0.5252311322373215
11,13,38.3243,38.2939,38.3316,38.2973,0.8642083963916458
11,14,38.3243,38.2939,38.3331,38.2994,1.089799406615118
11,15,38.3243,38.2939,38.3354,38.3031,1.4722105589949295
11,16,38.3243,38.2939,38.3381,38.3062,1.8723594648063357
11,17,38.3243,38.2939,38.3397,38.3083,2.1236657727643355
11,18,38.3243,38.2939,38.3413,38.3106,2.386438523664528
11,19,38.3243,38.2939,38.3441,38.3125,2.7348267439971923
11,20,38.3243,38.2939,38.3468,38.3140,3.054983071756458
11,21,38.3243,38.2939,38.3513,38.3146,3.5032993892872804
11,22,38.3243,38.2939,38.3522,38.3167,3.684952364612311
11,23,38.3243,38.2939,38.3525,38.3160,3.6807427612453374
12,0,38.3290,38.2945,38.2972,38.2961,3.5387579972319134
12,1,38.3290,38.2945,38.2986,38.2970,3.387360145937381
12,2,38.3290,38.2945,38.3009,38.2971,3.1328048934402437
12,3,38.3290,38.2945,38.3031,38.2959,2.8825414843190877
12,4,38.3290,38.2945,38.3048,38.2944,2.6909350842268713
12,5,38.3290,38.2945,38.3087,38.2939,2.257866962499355
12,6,38.3290,38.2945,38.3141,38.2953,1.6582759278398775
12,7,38.3290,38.2945,38.3095,38.2940,2.168742775344882
12,8,38.3290,38.2945,38.3180,38.2957,1.227617273645005
12,9,38.3290,38.2945,38.3175,38.3101,1.8673922124550757
12,10,38.3290,38.2945,38.3225,38.2948,0.7232416369698162
12,11,38.3290,38.2945,38.3243,38.2939,0.5252311322373215
12,12,38.3290,38.2945,38.3290,38.2945,0.0
12,13,38.3290,38.2945,38.3316,38.2973,0.3784623519220685
12,14,38.3290,38.2945,38.3331,38.2994,0.6249170883715759
12,15,38.3290,38.2945,38.3354,38.3031,1.0339922726128588
12,16,38.3290,38.2945,38.3381,38.3062,1.4371248924376518
12,17,38.3290,38.2945,38.3397,38.3083,1.6924532429941705
12,18,38.3290,38.2945,38.3413,38.3106,1.9602401860385354
12,19,38.3290,38.2945,38.3441,38.3125,2.2986797881267984
12,20,38.3290,38.2945,38.3468,38.3140,2.6096074515534506
12,21,38.3290,38.2945,38.3513,38.3146,3.0367329117938247
12,22,38.3290,38.2945,38.3522,38.3167,3.2254768587536526
12,23,38.3290,38.2945,38.3525,38.3160,3.2162450969632257
13,0,38.3316,38.2973,38.2972,38.2961,3.8265432700360478
13,1,38.3316,38.2973,38.2986,38.2970,3.669530992391258
13,2,38.3316,38.2973,38.3009,38.2971,3.413733556669366
13,3,38.3316,38.2973,38.3031,38.2959,3.171412611644435
13,4,38.3316,38.2973,38.3048,38.2944,2.990748529687817
13,5,38.3316,38.2973,38.3087,38.2939,2.563584542577388
13,6,38.3316,38.2973,38.3141,38.2953,1.9537198485963228
13,7,38.3316,38.2973,38.3095,38.2940,2.474216887664639
13,8,38.3316,38.2973,38.3180,38.2957,1.518680404691352
13,9,38.3316,38.2973,38.3175,38.3101,1.9248202065926925
13,10,38.3316,38.2973,38.3225,38.2948,1.0351081961775837
13,11,38.3316,38.2973,38.3243,38.2939,0.8642083963916458
13,12,38.3316,38.2973,38.3290,38.2945,0.3784623519220685
13,13,38.3316,38.2973,38.3316,38.2973,0.0
13,14,38.3316,38.2973,38.3331,38.2994,0.2477325980646676
13,15,38.3316,38.2973,38.3354,38.3031,0.6591426736307369
13,16,38.3316,38.2973,38.3381,38.3062,1.0606547832485047
13,17,38.3316,38.2973,38.3397,38.3083,1.315948084278651
13,18,38.3316,38.2973,38.3413,38.3106,1.5839834093749028
13,19,38.3316,38.2973,38.3441,38.3125,1.9207900760699788
13,20,38.3316,38.2973,38.3468,38.3140,2.231160358642761
13,21,38.3316,38.2973,38.3513,38.3146,2.6598742917692078
13,22,38.3316,38.2973,38.3522,38.3167,2.8477286461242777
13,23,38.3316,38.2973,38.3525,38.3160,2.8391247510596216
14,0,38.3331,38.2994,38.2972,38.2961,4.0022723522796255
14,1,38.3331,38.2994,38.2986,38.2970,3.8419402910181915
14,2,38.3331,38.2994,38.3009,38.2971,3.586099858432016
14,3,38.3331,38.2994,38.3031,38.2959,3.349798051916551
14,4,38.3331,38.2994,38.3048,38.2944,3.1769094188839997
14,5,38.3331,38.2994,38.3087,38.2939,2.7552593873648057
14,6,38.3331,38.2994,38.3141,38.2953,2.1427672937629505
14,7,38.3331,38.2994,38.3095,38.2940,2.666151820020953
14,8,38.3331,38.2994,38.3180,38.2957,1.7097861714943883
14,9,38.3331,38.2994,38.3175,38.3101,1.9698239797678847
14,10,38.3331,38.2994,38.3225,38.2948,1.2450964738190973
14,11,38.3331,38.2994,38.3243,38.2939,1.089799406615118
14,12,38.3331,38.2994,38.3290,38.2945,0.6249170883715759
14,13,38.3331,38.2994,38.3316,38.2973,0.2477325980646676
14,14,38.3331,38.2994,38.3331,38.2994,0.0
14,15,38.3331,38.2994,38.3354,38.3031,0.41177255061573464
14,16,38.3331,38.2994,38.3381,38.3062,0.8129421962920611
14,17,38.3331,38.2994,38.3397,38.3083,1.0682509448474669
14,18,38.3331,38.2994,38.3413,38.3106,1.3362669058246948
14,19,38.3331,38.2994,38.3441,38.3125,1.6737635307667258
14,20,38.3331,38.2994,38.3468,38.3140,1.9854630720525837
14,21,38.3331,38.2994,38.3513,38.3146,2.4192685524856823
14,22,38.3331,38.2994,38.3522,38.3167,2.6051897934981496
14,23,38.3331,38.2994,38.3525,38.3160,2.5979462675267975
15,0,38.3354,38.3031,38.2972,38.2961,4.291329560448672
15,1,38.3354,38.3031,38.2986,38.2970,4.126440178955188
15,2,38.3354,38.3031,38.3009,38.2971,3.871777511564378
15,3,38.3354,38.3031,38.3031,38.2959,3.646113570759287
15,4,38.3354,38.3031,38.3048,38.2944,3.4861912765736003
15,5,38.3354,38.3031,38.3087,38.2939,3.075475571935791
15,6,38.3354,38.3031,38.3141,38.2953,2.464255088044319
15,7,38.3354,38.3031,38.3095,38.2940,2.9873608103295295
15,8,38.3354,38.3031,38.3180,38.2957,2.0396355393457104
15,9,38.3354,38.3031,38.3175,38.3101,2.0819502871829743
15,10,38.3354,38.3031,38.3225,38.2948,1.6067734929973292
15,11,38.3354,38.3031,38.3243,38.2939,1.4722105589949295
15,12,38.3354,38.3031,38.3290,38.2945,1.0339922726128588
15,13,38.3354,38.3031,38.3316,38.2973,0.6591426736307369
15,14,38.3354,38.3031,38.3331,38.2994,0.41177255061573464
15,15,38.3354,38.3031,38.3354,38.3031,0.0
15,16,38.3354,38.3031,38.3381,38.3062,0.4040308338427404
